Origin,Destination,Aircraft_Code,Engine_Code,Distance_km,Fuel_Burn_kg,CO2_kg,Weather_Penalty_Index,Adjusted_Fuel_Burn_kg,Adjusted_CO2_kg,Callsign,FlightDate,Holding_Loop_Detected,Altitude_Drift,Unplanned_Reroute,Deviation_km,RTK,CO2_per_RTK,Predicted_CO2_per_RTK,esg_match_percent,SHAP_Top_Feature,route_efficiency_score,fuel_savings_if_alt_route,recommended_reroute_flag,suggested_reroute_distance_km,suggested_reroute_co2_saving_kg,ESG_Benchmark_Score,Seat_Count,Estimated_Passengers,ASK,RPK,Revenue,Yield_USD_per_RPK,callsign,number,aircraft_uid,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
KBOS,OMDB,B77W,GE90-115B,10702.117556465317,166348.67900708204,525661.8256623793,0.0369141497479721,172489.2990543268,545066.1850116728,EY1468,2026-05-10,False,,False,0.0,963190.58,565.9,0.5129359370484285,94.01577873595237,Distance_km,1.0,0.0,0.0,10702.117556465317,0.0,PASS,368.0,294.40000000000003,3938379.260779237,3150703.408623389,378084.4090348067,0.12,,,,,,,,,,,,,,,
WSSS,OMDB,B77W,GE90-115B,5846.662294552086,90877.76733602608,287173.7447818424,0.0266719171031404,93301.65161293103,294833.2190968621,EY8231,2026-02-23,False,,False,0.0,526199.61,560.31,0.5306681474885144,96.78635769993144,Distance_km,1.0,0.0,0.0,5846.662294552086,0.0,PASS,368.0,294.40000000000003,2151571.7243951675,1721257.3795161345,206550.8855419361,0.1199999999999999,,,,,,,,,,,,,,,
VECC,OMDB,B77W,GE90-115B,3365.806645906652,52316.51459496316,165320.18612008358,0.0252127103109342,53635.55572192374,169488.35608127902,EY7291,2026-04-03,False,,False,0.0,302922.6,559.51,0.522582993664673,93.01349175868056,Distance_km,1.0,0.0,0.0,3365.806645906652,0.0,PASS,368.0,294.40000000000003,1238616.845693648,990893.4765549186,118907.21718659022,0.12,,,,,,,,,,,,,,,
LEMD,OMDB,B77W,GE90-115B,5648.827179666825,87802.71140912717,277456.5680528419,0.0268299671324885,90158.45527037742,284900.7186543927,EY7641,2025-11-16,True,,False,409.0115184320225,508394.45,560.39,0.506980560286342,92.0421776943172,Distance_km,0.9276,258.5,0.0,5239.815661234803,258.5,PASS,368.0,294.40000000000003,2078768.402117392,1663014.7216939137,199561.7666032696,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,47264.40194624096,149355.51015012144,0.0361572026084426,48973.35050357807,154755.7875913067,EY8707,2027-04-23,False,,False,0.0,273669.9,565.48,0.5206198412588211,93.1382221219904,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0329969071134694,13620.162287547091,43039.712828648815,EY4525,2026-07-22,False,,False,0.0,78570.74,547.78,0.5084857598988953,93.26848118087923,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,38464.58825793909,121548.09889508752,0.0317774057466068,39686.893085887794,125410.58215140544,EY5089,2025-05-09,False,,False,0.0,229212.7,547.14,0.5189030238439759,94.50322425516444,Distance_km,1.0,0.0,0.0,2546.807816044138,0.0,PASS,368.0,294.40000000000003,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,,,,,,,,,,,,,,,
KBOS,OMDB,B77W,GE90-115B,10702.117556465317,161634.7109916225,510765.6867335271,0.0237247702414409,165469.45737294047,522883.4852984919,EY6084,2025-10-17,False,,False,0.0,963190.58,542.87,0.526961603602832,95.76755642603828,Distance_km,1.0,0.0,0.0,10702.117556465317,0.0,PASS,368.0,294.40000000000003,3938379.260779237,3150703.408623389,378084.4090348067,0.12,,,,,,,,,,,,,,,
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,41892.25472058189,132379.5249170388,0.0305486479824081,43172.006463230326,136423.54042380783,EY7666,2026-01-25,False,,False,0.0,242564.15,562.42,0.5165405146941966,95.05734577988956,Distance_km,1.0,0.0,0.0,2695.157168672011,0.0,PASS,368.0,294.40000000000003,991817.8380713,793454.27045704,95214.5124548448,0.12,,,,,,,,,,,,,,,
HKJK,OMDB,B77W,GE90-115B,3559.243502013245,55323.20605717528,174821.3311406739,0.0289125625638078,56922.74171353379,179875.86381476678,EY6476,2027-04-04,False,,False,0.0,320331.92,561.53,0.5235154949494573,96.57390230716142,Distance_km,1.0,0.0,0.0,3559.243502013245,0.0,PASS,368.0,294.40000000000003,1309801.608740874,1047841.2869926994,125740.95443912392,0.12,,,,,,,,,,,,,,,
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,49661.200927596976,156929.39493120645,0.026628479901774,50983.60321839545,161108.18617012963,EY6371,2027-02-01,False,,False,0.0,295933.97,544.41,0.520314592765904,95.3298905583498,Distance_km,1.0,0.0,0.0,3288.155168291381,0.0,PASS,368.0,294.40000000000003,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,,,,,,,,,,,,,,,
OPIS,OMDB,B77W,GE90-115B,1925.5193500604628,29081.23200980729,91896.69315099104,0.0339419402937749,30068.30545035359,95015.84522311734,EY2066,2027-03-02,False,,False,0.0,173296.74,548.28,0.5316320709824902,97.15086234998778,Distance_km,1.0,0.0,0.0,1925.5193500604628,0.0,PASS,368.0,294.40000000000003,708591.1208222503,566872.8966578003,68024.74759893604,0.12,,,,,,,,,,,,,,,
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,32979.01141326143,104213.67606590613,0.029355888444383,33947.139593315165,107272.96111487591,EY8847,2025-11-23,False,,False,0.0,196523.83,545.85,0.5254574947075139,93.91743244223316,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,
DNMM,OMDB,B77W,GE90-115B,5895.900658579161,89046.13446420686,281385.7849068937,0.0220526351311176,91009.83637738244,287591.0829525285,EY8471,2025-10-26,False,,False,0.0,530631.06,541.98,0.5437905223245743,97.52196159633348,Distance_km,1.0,0.0,0.0,5895.900658579161,0.0,PASS,368.0,294.40000000000003,2169691.442357132,1735753.1538857052,208290.3784662846,0.12,,,,,,,,,,,,,,,
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,41892.25472058189,132379.5249170388,0.0273117273361883,43036.404559008566,135995.0384064671,EY5447,2025-11-29,False,,False,0.0,242564.15,560.66,0.5146771425625318,93.44871324091712,Distance_km,1.0,0.0,0.0,2695.157168672011,0.0,PASS,368.0,294.40000000000003,991817.8380713,793454.27045704,95214.5124548448,0.12,,,,,,,,,,,,,,,
VABB,OMDB,B77W,GE90-115B,1926.162367196581,29090.943535438622,91927.38157198606,0.0247605442002342,29811.25112867437,94203.55356661102,EY3002,2025-04-19,False,,False,0.0,173354.61,543.42,0.527274019026494,96.7612863681198,Distance_km,1.0,0.0,0.0,1926.162367196581,0.0,PASS,368.0,294.40000000000003,708827.7511283418,567062.2009026735,68047.46410832083,0.12,,,,,,,,,,,,,,,
VOMM,OMDB,B77W,GE90-115B,2933.1724707086787,45591.8525682389,144070.25411563495,0.0207492291481288,46537.848364465,147059.6008317094,EY7685,2025-06-10,False,,False,0.0,263985.52,557.07,0.5392067488231989,97.87719851487174,Distance_km,1.0,0.0,0.0,2933.1724707086787,0.0,PASS,368.0,294.40000000000003,1079407.4692207938,863525.9753766351,103623.1170451962,0.12,,,,,,,,,,,,,,,
OIIE,OMDB,B77W,GE90-115B,1199.8636074996691,18121.610644279703,57264.28963592387,0.0362709557707853,18778.898782453765,59341.320152553904,EY1590,2027-06-06,False,,False,0.0,107987.72,549.52,0.5027836684318878,92.7282030320924,Distance_km,1.0,0.0,0.0,1199.8636074996691,0.0,PASS,368.0,294.40000000000003,441549.8075598782,353239.84604790265,42388.78152574832,0.12,,,,,,,,,,,,,,,
LFMN,OMDB,B77W,GE90-115B,4783.885041020725,72251.29717953842,228314.09908734143,0.0297373804838316,74399.86149421675,235103.5623217249,EY3406,2025-08-26,False,,False,0.0,430549.65,546.05,0.5231135107842162,95.16932505329405,Distance_km,1.0,0.0,0.0,4783.885041020725,0.0,PASS,368.0,294.40000000000003,1760469.6950956269,1408375.7560765017,169005.0907291802,0.12,,,,,,,,,,,,,,,
EHAM,OMDB,B77W,GE90-115B,5168.63641597926,78062.219827971,246676.6146563884,0.0227779790244662,79840.31943381579,252295.40941085792,EY4617,2025-08-20,False,,False,0.0,465177.28,542.36,0.5079430482876628,92.69523183654525,Distance_km,1.0,0.0,0.0,5168.63641597926,0.0,PASS,368.0,294.40000000000003,1902058.201080368,1521646.5608642944,182597.5873037153,0.12,,,,,,,,,,,,,,,
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,32979.01141326143,104213.67606590613,0.039717941676822,34288.8698651326,108352.828773819,EY6003,2025-03-31,False,,False,0.0,196523.83,551.35,0.5071657289305159,92.33772397954502,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,
ESSA,OMDB,B77W,GE90-115B,4785.109322222877,74377.48748848077,235032.86046359924,0.0296117182297276,76579.93269062476,241992.58730237425,EY6947,2026-01-24,False,,False,0.0,430659.84,561.91,0.5114878973706871,94.33571424826368,Distance_km,1.0,0.0,0.0,4785.109322222877,0.0,PASS,368.0,294.40000000000003,1760920.2305780188,1408736.1844624153,169048.34213548983,0.12,,,,,,,,,,,,,,,
OEDF,OMDB,B77W,GE90-115B,573.1578950522307,8908.896599329497,28152.113253881213,0.0377501433228487,9245.208722802625,29214.859564056296,EY3730,2026-05-13,False,,False,0.0,51584.21,566.35,0.5182633490896892,92.5810382223306,Distance_km,1.0,0.0,0.0,573.1578950522307,0.0,PASS,368.0,294.40000000000003,210922.1053792209,168737.68430337674,20248.52211640521,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0371834729974651,13675.36255617797,43214.14567752239,EY3683,2025-11-25,False,,False,0.0,78570.74,550.0,0.5458825459917014,96.94609716245654,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0310639054587226,13594.675477220317,42959.1745080162,EY7541,2026-11-18,False,,False,0.0,78570.74,546.76,0.531526047031121,97.1759343297767,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,49661.200927596976,156929.39493120645,0.0343143096969711,51365.29075615005,162314.31878943415,EY5960,2027-02-17,False,,False,0.0,295933.97,548.48,0.5277216281761062,95.70002761237812,Distance_km,1.0,0.0,0.0,3288.155168291381,0.0,PASS,368.0,294.40000000000003,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,,,,,,,,,,,,,,,
LPPT,OMDB,B77W,GE90-115B,6137.792934575513,95402.96500189608,301473.36940599163,0.0288444648473326,98154.81247222458,310169.2074122297,EY3258,2026-05-29,False,,False,0.0,552401.36,561.49,0.516011550450491,94.87904301789636,Distance_km,1.0,0.0,0.0,6137.792934575513,0.0,PASS,368.0,294.40000000000003,2258707.7999237888,1806966.2399390312,216835.9487926837,0.12,,,,,,,,,,,,,,,
OBBI,OMDB,B77W,GE90-115B,487.057574374108,7356.059196217703,23245.147060047944,0.0322128128157869,7593.018554167311,23993.938631168705,EY8318,2026-04-07,False,,False,0.0,43835.18,547.37,0.5383411084485394,95.56674917788014,Distance_km,1.0,0.0,0.0,487.057574374108,0.0,PASS,368.0,294.40000000000003,179237.18736967174,143389.74989573742,17206.76998748849,0.12,,,,,,,,,,,,,,,
OEDF,OMDB,B77W,GE90-115B,573.1578950522307,8656.437404144139,27354.34219709548,0.0331333225530939,8943.253936816312,28260.682440339548,EY3608,2027-01-26,False,,False,0.0,51584.21,547.86,0.5274819018154872,95.93780488141071,Distance_km,1.0,0.0,0.0,573.1578950522307,0.0,PASS,368.0,294.40000000000003,210922.1053792209,168737.68430337674,20248.52211640521,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0206249044081976,46872.2285862213,148116.2423324593,EY6016,2025-03-28,False,,False,0.0,273669.9,541.22,0.5439190179505958,97.08387659281516,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,32979.01141326143,104213.67606590613,0.0200420422021947,33639.97815179268,106302.33095966488,EY2235,2025-03-10,False,,False,0.0,196523.83,540.91,0.5090087975664492,93.75143374907556,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0218866359375733,13473.672307342593,42576.804491202594,EY9897,2025-06-07,False,,False,0.0,78570.74,541.89,0.524427189969819,93.67981826430656,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.027996821181475,13554.235679852069,42831.38474833253,EY2390,2027-03-22,False,,False,0.0,78570.74,545.13,0.5395659308153635,96.8390149139557,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
HKJK,OMDB,B77W,GE90-115B,3559.243502013245,53755.46397817086,169867.26617101993,0.0321507093271172,55483.74027527735,175328.61926987642,EY2022,2025-11-03,False,,False,0.0,320331.92,547.33,0.5292845404275831,97.76949246805154,Distance_km,1.0,0.0,0.0,3559.243502013245,0.0,PASS,368.0,294.40000000000003,1309801.608740874,1047841.2869926994,125740.95443912392,0.12,,,,,,,,,,,,,,,
LSGG,OMDB,B77W,GE90-115B,4919.418583337711,74298.26824171317,234782.52764381364,0.0355242339032085,76937.65730133512,243122.9970722189,EY6187,2025-10-24,False,,False,0.0,442747.67,549.12,0.5371259024107655,97.43094187980414,Distance_km,1.0,0.0,0.0,4919.418583337711,0.0,PASS,368.0,294.40000000000003,1810346.038668278,1448276.8309346223,173793.21971215468,0.12,,,,,,,,,,,,,,,
FSIA,OMDB,B77W,GE90-115B,3327.785125963358,50259.73450949082,158820.761049991,0.0328086866752871,51908.69039139583,164031.46163681085,EY3885,2025-07-11,False,,False,0.0,299500.66,547.68,0.5522646551840138,97.86291479027877,Distance_km,1.0,0.0,0.0,3327.785125963358,0.0,PASS,368.0,294.40000000000003,1224624.9263545158,979699.9410836129,117563.99293003352,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.0203387897072627,13453.26380785162,42512.31363281112,EY6332,2026-11-15,False,,False,0.0,78570.74,541.07,0.512701692419026,93.95517772810828,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
OLBA,OMDB,B77W,GE90-115B,2140.680300053112,32330.82049407273,102165.39276126985,0.0307917225712601,33326.34214922743,105311.24119155869,EY8938,2025-12-06,False,,False,0.0,192661.23,546.61,0.5517384358660502,97.82527002857644,Distance_km,1.0,0.0,0.0,2140.680300053112,0.0,PASS,368.0,294.40000000000003,787770.3504195453,630216.2803356363,75625.95364027636,0.12,,,,,,,,,,,,,,,
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,40705.11725711036,128628.17053246874,0.0357179454544742,42159.0204150178,133222.50451145627,EY9154,2025-11-04,False,,False,0.0,242564.15,549.23,0.5126747181964555,93.48544966222632,Distance_km,1.0,0.0,0.0,2695.157168672011,0.0,PASS,368.0,294.40000000000003,991817.8380713,793454.27045704,95214.5124548448,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0226695154420698,46966.127407752734,148412.96260849864,EY1874,2027-04-04,False,,False,0.0,273669.9,542.31,0.5241344831029058,93.50743180772528,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
VOTV,OMDB,B77W,GE90-115B,2947.103527071604,45808.390352552975,144754.5135140674,0.0280455040058394,47093.10974768656,148814.22680268952,EY9431,2025-04-04,False,,False,0.0,265239.32,561.06,0.5543514656086058,97.85356317334572,Distance_km,1.0,0.0,0.0,2947.103527071604,0.0,PASS,368.0,294.40000000000003,1084534.09796235,867627.2783698803,104115.27340438565,0.12,,,,,,,,,,,,,,,
LTFM,OMDB,B77W,GE90-115B,3028.340480393419,45737.20441305712,144529.56594526052,0.0235651184614516,46815.007053146444,147935.42228794278,EY5894,2027-03-15,False,,False,0.0,272550.64,542.78,0.5180670608292846,94.60014731626003,Distance_km,1.0,0.0,0.0,3028.340480393419,0.0,PASS,368.0,294.40000000000003,1114429.296784778,891543.4374278226,106985.21249133872,0.12,,,,,,,,,,,,,,,
OLBA,OMDB,B77W,GE90-115B,2140.680300053112,32330.82049407273,102165.39276126985,0.0259500845836068,33169.80802055133,104816.59334494222,EY8141,2026-11-13,False,,False,0.0,192661.23,544.05,0.5169266584561991,94.57286255156342,Distance_km,1.0,0.0,0.0,2140.680300053112,0.0,PASS,368.0,294.40000000000003,787770.3504195453,630216.2803356363,75625.95364027636,0.12,,,,,,,,,,,,,,,
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,39586.38219479429,125092.96773554996,0.0337814721011612,40923.668460493645,129318.79233515992,EY2818,2025-11-17,True,,False,247.49104235080443,229212.7,564.19,0.5071100059559617,93.40717912288753,Distance_km,0.9028,156.41,0.0,2299.3167736933333,156.41,PASS,368.0,294.40000000000003,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13569.629391577411,42880.02887738463,0.0229162644622248,13880.59460736918,43862.67895928661,EY8359,2025-10-04,True,,False,50.61600844733496,78570.74,558.26,0.5220390759006481,92.956282830893,Distance_km,0.942,31.99,0.0,822.3922403295952,31.99,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
EGBB,OMDB,B77W,GE90-115B,5603.408765882395,84628.61220340214,267426.4145627508,0.0287480889714487,87061.5230765558,275114.41292191634,EY3702,2026-12-28,False,,False,0.0,504306.79,545.53,0.5238081004723686,93.1476135759012,Distance_km,1.0,0.0,0.0,5603.408765882395,0.0,PASS,368.0,294.40000000000003,2062054.4258447213,1649643.5406757772,197957.22488109325,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0372968580439332,47637.88854456437,150535.7278008234,EY9226,2026-04-22,False,,False,0.0,273669.9,550.06,0.5376510721412098,95.82706405213362,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0220241273169393,46936.4879392298,148319.30188796617,EY1726,2025-05-05,False,,False,0.0,273669.9,541.96,0.5376510721412098,95.82706405213362,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
OBBI,OMDB,B77W,GE90-115B,487.057574374108,7356.059196217703,23245.147060047944,0.0270190136833072,7554.812660295528,23873.20800653387,EY8278,2025-11-25,True,,False,30.10656881706168,43835.18,544.61,0.5165617432024364,92.09006226315547,Distance_km,0.9382,19.03,0.0,456.9510055570464,19.03,PASS,368.0,294.40000000000003,179237.18736967174,143389.74989573742,17206.76998748849,0.12,,,,,,,,,,,,,,,
OKBK,OMDB,B77W,GE90-115B,853.9770187554841,13273.816907997005,41945.26142927054,0.0298470290358804,13670.000906666954,43197.20286506758,EY8539,2026-02-12,False,,False,0.0,76857.93,562.04,0.5309540213948388,97.85812809124288,Distance_km,1.0,0.0,0.0,853.9770187554841,0.0,PASS,368.0,294.40000000000003,314263.5429020182,251410.83432161456,30169.300118593743,0.12,,,,,,,,,,,,,,,
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0352914160736555,35138.641855342954,111038.10826288376,EY9625,2025-06-05,False,,False,0.0,196523.83,565.01,0.5375144571367793,97.9411748173654,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0232740272177283,34730.76179714032,109749.2072789634,EY9468,2025-08-16,False,,False,0.0,196523.83,558.45,0.5145299062942363,94.88829017322132,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,
EGPF,OMDB,B77W,GE90-115B,5840.558197912882,88210.2940253252,278744.52912002767,0.0269877382894346,90590.89035491477,286267.2135215306,EY5687,2025-07-20,False,,False,0.0,525650.24,544.6,0.5286718368809856,97.28126669028524,Distance_km,1.0,0.0,0.0,5840.558197912882,0.0,PASS,368.0,294.40000000000003,2149325.4168319404,1719460.333465553,206335.24001586632,0.12,,,,,,,,,,,,,,,
