Origin,Destination,Aircraft_Code,Engine_Code,Distance_km,Fuel_Burn_kg,CO2_kg,Weather_Penalty_Index,Adjusted_Fuel_Burn_kg,Adjusted_CO2_kg,Callsign,FlightDate,Holding_Loop_Detected,Altitude_Drift,Unplanned_Reroute,Deviation_km_x,RTK,CO2_per_RTK,Predicted_CO2_per_RTK,esg_match_percent,SHAP_Top_Feature,route_efficiency_score,fuel_savings_if_alt_route,recommended_reroute_flag,suggested_reroute_distance_km,suggested_reroute_co2_saving_kg,ESG_Benchmark_Score,Seat_Count,Estimated_Passengers,ASK,RPK,Revenue,Yield_USD_per_RPK,Anomaly_Score,Deviation_km_y
LEMD,OMDB,B77W,GE90-115B,5648.827179666825,85314.5691784598,269594.038603933,0.0268165003235833,87602.40735044035,276823.6072273915,EY1235,2026-10-19 20:00:00,False,,False,0.0,508394.45,544.51,0.5410839096692682,96.2757143743598,Distance_km,1.0,0.0,0,5648.827179666825,0.0,PASS,368,294.40000000000003,2078768.402117392,1663014.7216939137,199561.7666032696,0.12,0.0094871524828126,0.0
WIII,OMDB,B77W,GE90-115B,6547.085129081878,98881.01182717826,312463.9973738833,0.020913577218481,100948.96750346747,318998.7373109572,EY9709,2027-05-15 02:00:00,False,High,False,0.0,589237.66,541.38,0.5188549358439296,95.22292032728656,Distance_km,1.0,0.0,0,6547.085129081878,0.0,PASS,368,294.40000000000003,2409327.327502131,1927461.8620017048,231295.4234402046,0.12,0.007551793807555,0.0
VOMM,OMDB,B77W,GE90-115B,2933.1724707086787,44299.87636467027,139987.60931235808,0.0329508355894559,45759.59430739575,144600.31801137055,EY7230,2026-04-19 13:00:00,False,,False,0.0,263985.52,547.76,0.5289397746218877,94.79098073532388,Distance_km,1.0,0.0,0,2933.1724707086787,0.0,PASS,368,294.40000000000003,1079407.4692207938,863525.9753766351,103623.1170451962,0.12,0.0050413365174766,0.0
LOWW,OMDB,B77W,GE90-115B,4222.8969237351375,65638.7225369278,207418.36321669185,0.0309687400782858,67671.47107424465,213841.84859461308,EY5938,2025-04-22 18:00:00,False,,False,0.0,380060.72,562.65,0.5039529574095792,92.26076597443183,Distance_km,1.0,0.0,0,4222.8969237351375,0.0,PASS,368,294.40000000000003,1554026.0679345306,1243220.8543476246,149186.50252171495,0.12,0.0185369403634726,0.0
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,38464.58825793909,121548.09889508752,0.0324393525558992,39712.35459735588,125491.04052764458,EY5992,2025-08-19 15:00:00,False,,False,0.0,229212.7,547.49,0.5539230385549919,97.82167522528884,Distance_km,1.0,0.0,0,2546.807816044138,0.0,PASS,368,294.40000000000003,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,0.0069610181426695,0.0
VOMM,OMDB,B77W,GE90-115B,2933.1724707086787,44299.87636467027,139987.60931235808,0.0391431423569523,46033.91273160795,145467.16423188112,EY7247,2026-09-08 14:00:00,False,,False,0.0,263985.52,551.04,0.5198959163888035,94.81472774746602,Distance_km,1.0,0.0,0,2933.1724707086787,0.0,PASS,368,294.40000000000003,1079407.4692207938,863525.9753766351,103623.1170451962,0.12,0.0043872110004259,0.0
VABB,OMDB,B77W,GE90-115B,1926.162367196581,29090.943535438622,91927.38157198606,0.0239144942365197,29786.63873695179,94125.77840876766,EY7481,2025-06-16 20:00:00,True,,False,103.21317799073566,173354.61,542.97,0.503758050386966,92.4628341807498,Distance_km,0.9464,65.23,0,1822.9491892058447,65.23,PASS,368,294.40000000000003,708827.7511283418,567062.2009026735,68047.46410832083,0.12,0.0113425658653878,103.21317799073566
LTFM,OMDB,B77W,GE90-115B,3028.340480393419,47071.099325832765,148744.67386963154,0.0288650990437903,48429.81126997303,153038.20361311478,EY7439,2027-05-03 22:00:00,False,,False,0.0,272550.64,561.5,0.5069789391050067,92.0351689108828,Distance_km,1.0,0.0,0,3028.340480393419,0.0,PASS,368,294.40000000000003,1114429.296784778,891543.4374278226,106985.21249133872,0.12,0.0188378239554017,0.0
LSGG,OMDB,B77W,GE90-115B,4919.418583337711,74298.26824171317,234782.52764381364,0.0298548806641667,76516.43417362377,241791.9319886511,EY3900,2025-09-13 01:00:00,False,,False,0.0,442747.67,546.12,0.5092494172586335,93.11715214935045,Distance_km,1.0,0.0,0,4919.418583337711,0.0,PASS,368,294.40000000000003,1810346.038668278,1448276.8309346223,173793.21971215468,0.12,0.0102259507420824,0.0
OEDF,OMDB,B77W,GE90-115B,573.1578950522307,8908.896599329497,28152.113253881213,0.0307760413719894,9183.077169649236,29018.523856091582,EY7588,2026-02-18 08:00:00,False,,False,0.0,51584.21,562.55,0.5038764357535136,92.26448370752944,Distance_km,1.0,0.0,0,573.1578950522307,0.0,PASS,368,294.40000000000003,210922.1053792209,168737.68430337674,20248.52211640521,0.12,0.0604467217574668,0.0
VABB,OMDB,B77W,GE90-115B,1926.162367196581,29939.36140635439,94608.38204407987,0.0287198928686781,30799.21665850153,97325.52464086484,EY8802,2026-08-21 10:00:00,False,,False,0.0,173354.61,561.42,0.5043263089878537,92.39437190944336,Distance_km,1.0,0.0,0,1926.162367196581,0.0,PASS,368,294.40000000000003,708827.7511283418,567062.2009026735,68047.46410832083,0.12,0.0347853373085578,0.0
EDDF,OMDB,B77W,GE90-115B,4843.202576645297,73147.17340934313,231145.0679735243,0.0259960659727007,75048.712155009,237153.93040982843,EY2117,2025-08-14 18:00:00,False,,False,0.0,435888.23,544.07,0.5459325179511856,97.11193101338029,Distance_km,1.0,0.0,0,4843.202576645297,0.0,PASS,368,294.40000000000003,1782298.5482054693,1425838.8385643756,171100.66062772507,0.12,0.0088187352052626,0.0
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,38464.58825793909,121548.09889508752,0.0296839132833937,39606.3677602692,125156.12212245067,EY3859,2025-11-10 11:00:00,False,,False,0.0,229212.7,546.03,0.5186574449206918,95.41950899240904,Distance_km,1.0,0.0,0,2546.807816044138,0.0,PASS,368,294.40000000000003,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,0.0101588972915393,0.0
OKBK,OMDB,B77W,GE90-115B,853.9770187554841,12897.665148206352,40756.62186833208,0.0251967010631325,13222.643761358093,41783.55428589157,EY9892,2026-11-05 18:00:00,False,,False,0.0,76857.93,543.65,0.5112295102907979,94.27965364903996,Distance_km,1.0,0.0,0,853.9770187554841,0.0,PASS,368,294.40000000000003,314263.5429020182,251410.83432161456,30169.300118593743,0.12,0.1069939960481315,0.0
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0381792599703513,35236.65765151847,111347.83817879838,EY1860,2026-05-06 16:00:00,False,,False,0.0,196523.83,566.59,0.5268118743982837,93.57016246968648,Distance_km,1.0,0.0,0,2183.5981570754825,0.0,PASS,368,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,0.028409656222681,0.0
EGBB,OMDB,B77W,GE90-115B,5603.408765882395,84628.61220340214,267426.4145627508,0.0294853014900409,87123.9123489032,275311.56302253413,EY3569,2026-04-11 15:00:00,False,,False,0.0,504306.79,545.92,0.5286691900536308,93.60891752152683,Distance_km,1.0,0.0,0,5603.408765882395,0.0,PASS,368,294.40000000000003,2062054.4258447213,1649643.5406757772,197957.22488109325,0.12,0.0089996882087479,0.0
LIRF,OMDB,B77W,GE90-115B,4343.684085512836,65602.91625432891,207305.21536367937,0.024523099722319,67211.70311170878,212388.9818329997,EY5295,2025-06-28 17:00:00,False,,False,0.0,390931.57,543.29,0.5240924153500749,95.83307403059392,Distance_km,1.0,0.0,0,4343.684085512836,0.0,PASS,368,294.40000000000003,1598475.7434687235,1278780.594774979,153453.67137299746,0.12,0.0102044608119287,0.0
EGBB,OMDB,B77W,GE90-115B,5603.408765882395,87096.74895863316,275225.7267092808,0.0249515140528965,89269.94471423612,282093.02529698616,EY7557,2027-06-24 12:00:00,False,,False,0.0,504306.79,559.37,0.5076446517884683,92.47807385127496,Distance_km,1.0,0.0,0,5603.408765882395,0.0,PASS,368,294.40000000000003,2062054.4258447213,1649643.5406757772,197957.22488109325,0.12,0.0182297809085218,0.0
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,39586.38219479429,125092.96773554996,0.0381976481268513,41098.4888924861,129871.22490025609,EY2747,2025-09-05 10:00:00,False,,False,0.0,229212.7,566.6,0.5166736081012642,95.12731526597923,Distance_km,1.0,0.0,0,2546.807816044138,0.0,PASS,368,294.40000000000003,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,0.0259432942350684,0.0
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,38464.58825793909,121548.09889508752,0.0223935165512652,39325.94565173085,124269.9882594695,EY1695,2026-12-29 20:00:00,False,,False,0.0,229212.7,542.16,0.550769470668933,97.89040686469096,Distance_km,1.0,0.0,0,2546.807816044138,0.0,PASS,368,294.40000000000003,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,0.0146543014209365,0.0
VOCI,OMDB,B77W,GE90-115B,2782.576621065114,42025.41838892413,132800.32210900026,0.0325082224622284,43391.5900389795,137117.42452317523,EY8956,2025-03-10 12:00:00,False,,False,0.0,250431.9,547.52,0.5269618378720698,95.65861310675167,Distance_km,1.0,0.0,0,2782.576621065114,0.0,PASS,368,294.40000000000003,1023988.196551962,819190.5572415696,98302.86686898836,0.12,0.0046303641133331,0.0
OPKC,OMDB,B77W,GE90-115B,1188.274788606433,17946.58403083993,56711.20553745418,0.0281255282907084,18451.341187720896,58306.23815319804,EY7008,2026-04-17 06:00:00,False,,False,0.0,106944.73,545.2,0.5178062412006912,94.07416252763448,Distance_km,1.0,0.0,0,1188.274788606433,0.0,PASS,368,294.40000000000003,437285.1222071674,349828.09776573395,41979.37173188807,0.12,0.0561826788514629,0.0
FALE,OMDB,B77W,GE90-115B,6626.559339765713,103000.11999645249,325480.3791887898,0.0281084624113363,105895.29499773592,334629.1321928455,EY5342,2025-04-08 04:00:00,False,,False,0.0,596390.34,561.09,0.5254058900267088,96.29102938495448,Distance_km,1.0,0.0,0,6626.559339765713,0.0,PASS,368,294.40000000000003,2438573.8370337826,1950859.069627026,234103.08835524312,0.12,0.0203072978085163,0.0
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,40705.11725711036,128628.17053246874,0.0216187305885213,41585.110220666,131408.94829730457,EY3181,2025-06-26 07:00:00,True,,False,159.17902660832644,242564.15,541.75,0.5270012906830646,96.4679396093714,Distance_km,0.9409,100.6,0,2535.978142063685,100.6,PASS,368,294.40000000000003,991817.8380713,793454.27045704,95214.5124548448,0.12,0.0170103889929791,159.17902660832644
OLBA,OMDB,B77W,GE90-115B,2140.680300053112,32330.82049407273,102165.39276126985,0.025262727902507,33147.585215079285,104746.36927965056,EY5823,2027-06-07 20:00:00,False,,False,0.0,192661.23,543.68,0.5007225606810904,92.04955812834667,Distance_km,1.0,0.0,0,2140.680300053112,0.0,PASS,368,294.40000000000003,787770.3504195453,630216.2803356363,75625.95364027636,0.12,0.0131590727662311,0.0
OEJN,OMDB,B77W,GE90-115B,1698.993736582153,25660.00234440829,81085.60740833021,0.0223288176747958,26232.95985829141,82896.15315220087,EY5194,2027-04-10 10:00:00,False,,False,0.0,152909.44,542.13,0.5187868683424388,92.16518829406073,Distance_km,1.0,0.0,0,1698.993736582153,0.0,PASS,368,294.40000000000003,625229.6950622323,500183.7560497859,60022.0507259743,0.12,0.4527773531244298,0.0
OPIS,OMDB,B77W,GE90-115B,1925.5193500604628,29929.36665058686,94576.79861585448,0.0200470365480077,30529.361757689898,96472.78315430008,EY2343,2025-03-12 03:00:00,False,,False,0.0,173296.74,556.69,0.5466008473369601,97.93429346856811,Distance_km,1.0,0.0,0,1925.5193500604628,0.0,PASS,368,294.40000000000003,708591.1208222503,566872.8966578003,68024.74759893604,0.12,0.0986470940884832,0.0
ESSA,OMDB,B77W,GE90-115B,4785.109322222877,72269.78757055107,228372.5287229413,0.0301992845339399,74452.28344860152,235269.2156975808,EY3535,2026-05-22 02:00:00,False,,False,0.0,430659.84,546.3,0.5174941353460832,93.96076065567937,Distance_km,1.0,0.0,0,4785.109322222877,0.0,PASS,368,294.40000000000003,1760920.2305780188,1408736.1844624153,169048.34213548983,0.12,0.0096772246452582,0.0
OKBK,OMDB,B77W,GE90-115B,853.9770187554841,12897.665148206352,40756.62186833208,0.0305402291355677,13291.562797146398,42001.33843898262,EY7230,2027-05-01 23:00:00,False,,False,0.0,76857.93,546.48,0.4997915097514142,92.04234836193766,Distance_km,1.0,0.0,0,853.9770187554841,0.0,PASS,368,294.40000000000003,314263.5429020182,251410.83432161456,30169.300118593743,0.12,0.0942432430095791,0.0
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,51109.5365687832,161506.13555735492,0.0253782305407685,52406.60617065762,165604.8754992781,EY7777,2026-09-16 06:00:00,False,,False,0.0,295933.97,559.6,0.5391159772113342,96.2081236716554,Distance_km,1.0,0.0,0,3288.155168291381,0.0,PASS,368,294.40000000000003,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,0.022990909765182,0.0
RPLL,OMDB,B77W,GE90-115B,6906.037713866663,107344.20032424276,339207.6730246072,0.0328610689554508,110871.64549306544,350354.39975808683,EY6634,2025-09-13 23:00:00,False,,False,0.0,621543.39,563.68,0.5058085006314074,92.71775714226212,Distance_km,1.0,0.0,0,6906.037713866663,0.0,PASS,368,294.40000000000003,2541421.878702932,2033137.5029623455,243976.5003554815,0.12,0.0178091805394626,0.0
EGPF,OMDB,B77W,GE90-115B,5840.558197912882,88210.2940253252,278744.52912002767,0.027784831181124,90661.20215325616,286489.39880428946,EY6460,2026-12-11 20:00:00,False,,False,0.0,525650.24,545.02,0.524645510989729,95.25445352911622,Distance_km,1.0,0.0,0,5840.558197912882,0.0,PASS,368,294.40000000000003,2149325.4168319404,1719460.333465553,206335.24001586632,0.12,0.0092405511574234,0.0
VOMM,OMDB,B77W,GE90-115B,2933.1724707086787,44299.87636467027,139987.60931235808,0.0379152499546699,45979.51724999772,145295.2745099928,EY4865,2025-12-16 05:00:00,False,,False,0.0,263985.52,550.39,0.5174633550047197,93.91025067795825,Distance_km,1.0,0.0,0,2933.1724707086787,0.0,PASS,368,294.40000000000003,1079407.4692207938,863525.9753766351,103623.1170451962,0.12,0.0026180986703806,0.0
OEDF,OMDB,B77W,GE90-115B,573.1578950522307,8908.896599329497,28152.113253881213,0.0323585899181045,9197.175931009995,29063.075941991592,EY6562,2027-02-06 14:00:00,False,,False,0.0,51584.21,563.41,0.5240659684436212,93.88302062964556,Distance_km,1.0,0.0,0,573.1578950522307,0.0,PASS,368,294.40000000000003,210922.1053792209,168737.68430337674,20248.52211640521,0.12,0.0513212868656317,0.0
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0304035546778878,47321.31338586314,149535.35029932752,EY2576,2026-05-28 07:00:00,False,,True,175.03432900756502,273669.9,546.41,0.513696247614234,94.93627598470188,Distance_km,0.9424,110.62,0,2865.7423629622217,110.62,PASS,368,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,0.0142320633309276,175.03432900756502
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,49661.200927596976,156929.39493120645,0.0392237915857824,51609.10152268071,163084.76081167103,EY2515,2027-02-17 02:00:00,False,Low,False,0.0,295933.97,551.08,0.5317710383006674,94.9268917175583,Distance_km,1.0,0.0,0,3288.155168291381,0.0,PASS,368,294.40000000000003,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,0.0051593481766246,0.0
KORD,OMDB,B77W,GE90-115B,11640.526901886276,175807.562536065,555551.8976139654,0.0386838645695219,182608.4784755079,577042.791982605,EY3210,2027-03-20 07:00:00,False,,False,0.0,1047647.42,550.8,0.5098156835551346,92.4513655511846,Distance_km,1.0,0.0,0,11640.526901886276,0.0,PASS,368,294.40000000000003,4283713.89989415,3426971.11991532,411236.5343898384,0.12,0.0098969402213192,0.0
OBBI,OMDB,B77W,GE90-115B,487.057574374108,7356.059196217703,23245.147060047944,0.028869208760376,7568.422804806996,23916.21606319011,EY1696,2027-04-12 20:00:00,False,,False,0.0,43835.18,545.59,0.5326051889311875,93.85214769619913,Distance_km,1.0,0.0,0,487.057574374108,0.0,PASS,368,294.40000000000003,179237.18736967174,143389.74989573742,17206.76998748849,0.12,0.1565368362484069,0.0
LTFM,OMDB,B77W,GE90-115B,3028.340480393419,45737.20441305712,144529.56594526052,0.0300955656222612,47113.69144984906,148879.26498152304,EY6507,2025-03-23 10:00:00,False,,False,0.0,272550.64,546.24,0.5183063685599844,94.08756575290892,Distance_km,1.0,0.0,0,3028.340480393419,0.0,PASS,368,294.40000000000003,1114429.296784778,891543.4374278226,106985.21249133872,0.12,0.0086770227448213,0.0
EBBR,OMDB,B77W,GE90-115B,5147.621807784948,77744.83496425887,245673.6784870581,0.0260529551166227,79770.31766013194,252074.2038060169,EY6328,2027-02-03 16:00:00,False,,False,0.0,463285.96,544.1,0.5269170205070257,96.919445218561,Distance_km,1.0,0.0,0,5147.621807784948,0.0,PASS,368,294.40000000000003,1894324.8252648609,1515459.8602118888,181855.18322542665,0.12,0.0084917924431107,0.0
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,40705.11725711036,128628.17053246874,0.0382814245669257,42263.36713287629,133552.2401398891,EY5228,2027-03-17 13:00:00,False,,False,0.0,242564.15,550.59,0.5225290485002978,92.39406892484678,Distance_km,1.0,0.0,0,2695.157168672011,0.0,PASS,368,294.40000000000003,991817.8380713,793454.27045704,95214.5124548448,0.12,0.0024740589133122,0.0
VOHS,OMDB,B77W,GE90-115B,2546.807816044138,38464.58825793909,121548.09889508752,0.0345604017289993,39793.93988047401,125748.85002229788,EY8237,2025-07-22 08:00:00,False,,False,0.0,229212.7,548.61,0.5311192603411812,97.728092894274,Distance_km,1.0,0.0,0,2546.807816044138,0.0,PASS,368,294.40000000000003,937225.2763042428,749780.2210433943,89973.6265252073,0.1199999999999999,0.0043592096675629,0.0
OPKC,OMDB,B77W,GE90-115B,1188.274788606433,17946.58403083993,56711.20553745418,0.0230864095606328,18360.90621999021,58020.46365516908,EY6728,2025-10-14 08:00:00,False,,False,0.0,106944.73,542.53,0.500802066166629,92.17624828573442,Distance_km,1.0,0.0,0,1188.274788606433,0.0,PASS,368,294.40000000000003,437285.1222071674,349828.09776573395,41979.37173188807,0.12,0.0536052582224063,0.0
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,49661.200927596976,156929.39493120645,0.03764584353156,51530.738727306656,162837.13437828905,EY1172,2025-06-14 13:00:00,False,,False,0.0,295933.97,550.25,0.5098652651777323,93.88700656467424,Distance_km,1.0,0.0,0,3288.155168291381,0.0,PASS,368,294.40000000000003,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,0.0040491378040294,0.0
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0207392864282861,34644.7306107386,109477.34872993396,EY2237,2025-06-22 20:00:00,True,,False,135.2326829132035,196523.83,557.07,0.530281835675321,95.1567013068167,Distance_km,0.9381,85.47,0,2048.365474162279,85.47,PASS,368,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,0.0146159399501099,135.2326829132035
LSZH,OMDB,B77W,GE90-115B,4767.911328678359,72010.04526240152,227551.7430291888,0.0373345338514618,74698.50673489596,236047.28128227123,EY4638,2025-09-06 03:00:00,False,,False,0.0,429112.02,550.08,0.5327773898223285,97.1487602690434,Distance_km,1.0,0.0,0,4767.911328678359,0.0,PASS,368,294.40000000000003,1754591.368953636,1403673.095162909,168440.77141954907,0.12,0.009704689587123,0.0
VVNB,OMDB,B77W,GE90-115B,5144.178669435487,77692.83304322942,245509.35241660496,0.0324396901795638,80213.16447632435,253473.59974518497,EY7311,2025-03-17 14:00:00,False,,False,0.0,462976.08,547.49,0.5037152672515209,92.32910767339716,Distance_km,1.0,0.0,0,5144.178669435487,0.0,PASS,368,294.40000000000003,1893057.7503522595,1514446.2002818077,181733.5440338169,0.12,0.0094534386706304,0.0
GMMN,OMDB,B77W,GE90-115B,6080.500028298156,94512.43102808853,298659.2820487597,0.0306823296161282,97412.29258971392,307822.844583496,EY9627,2026-05-19 22:00:00,False,,False,0.0,547245.0,562.5,0.519617563889995,95.14073649096278,Distance_km,1.0,0.0,0,6080.500028298156,0.0,PASS,368,294.40000000000003,2237624.0104137217,1790099.2083309777,214811.90499971728,0.12,0.0178767623336784,0.0
VOMM,OMDB,B77W,GE90-115B,2933.1724707086787,45591.8525682389,144070.25411563495,0.0221431920986516,46601.40171779082,147260.42942821898,EY4349,2026-06-30 21:00:00,False,,False,0.0,263985.52,557.84,0.520886256017921,93.41776051663513,Distance_km,1.0,0.0,0,2933.1724707086787,0.0,PASS,368,294.40000000000003,1079407.4692207938,863525.9753766351,103623.1170451962,0.12,0.0258819193181615,0.0
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,40705.11725711036,128628.17053246874,0.0312587323653469,41977.50762335045,132648.9240897874,EY6131,2025-06-18 05:00:00,False,,False,0.0,242564.15,546.86,0.5368916284677412,94.60455247651096,Distance_km,1.0,0.0,0,2695.157168672011,0.0,PASS,368,294.40000000000003,991817.8380713,793454.27045704,95214.5124548448,0.12,0.007123462679373,0.0
LTFM,OMDB,B77W,GE90-115B,3028.340480393419,47071.099325832765,148744.67386963154,0.0258165994284318,48286.31504178372,152584.75553203656,EY1071,2025-08-09 18:00:00,True,,False,62.69664987662217,272550.64,559.84,0.5165282074152928,92.7516732990923,Distance_km,0.9793,39.62,0,2965.6438305167967,39.62,PASS,368,294.40000000000003,1114429.296784778,891543.4374278226,106985.21249133872,0.12,0.0286324837419245,62.69664987662217
VCBI,OMDB,B77W,GE90-115B,3288.155168291381,51109.5365687832,161506.13555735492,0.0276272448842861,52521.55225149135,165968.10511471267,EY7521,2025-10-08 01:00:00,False,,False,0.0,295933.97,560.83,0.5484403207843845,97.16616257855878,Distance_km,1.0,0.0,0,3288.155168291381,0.0,PASS,368,294.40000000000003,1210041.1019312283,968032.8815449828,116163.94578539793,0.12,0.022226665853436,0.0
VOBL,OMDB,B77W,GE90-115B,2695.157168672011,41892.25472058189,132379.5249170388,0.0281845678546734,43072.9698163394,136110.58461963251,EY2970,2026-01-17 07:00:00,False,,False,0.0,242564.15,561.13,0.5146472816086849,94.59229347291266,Distance_km,1.0,0.0,0,2695.157168672011,0.0,PASS,368,294.40000000000003,991817.8380713,793454.27045704,95214.5124548448,0.12,0.0200506099673226,0.0
EGBB,OMDB,B77W,GE90-115B,5603.408765882395,84628.61220340214,267426.4145627508,0.025967233838205,86826.18316589066,274370.7388042145,EY3631,2026-09-01 11:00:00,True,,False,413.06345676057583,504306.79,544.06,0.5169047969440308,92.0226665021179,Distance_km,0.9263,261.06,0,5190.345309121819,261.06,PASS,368,294.40000000000003,2062054.4258447213,1649643.5406757772,197957.22488109325,0.12,0.0089649864140238,413.06345676057583
